short_form,full_form
JFK,"John F. Kennedy International Airport, New York City, New York, USA"
ORD,"O'Hare International Airport, Chicago, Illinois, USA"
LAX,"Los Angeles International Airport, Los Angeles, California, USA"
MCO,"Orlando International Airport, Orlando, Florida, USA"
BOS,"Logan International Airport, Boston, Massachusetts, USA"
DFW,"Dallas/Fort Worth International Airport, Dallas/Fort Worth, Texas, USA"
BOM,"Chhatrapati Shivaji Maharaj International Airport, Mumbai, Maharashtra, India"
LAS,"McCarran International Airport, Las Vegas, Nevada, USA"
ATL,"Hartsfield-Jackson Atlanta International Airport, Atlanta, Georgia, USA"
SEA,"Seattle-Tacoma International Airport, Seattle, Washington, USA"
DEN,"Denver International Airport, Denver, Colorado, USA"
SFO,"San Francisco International Airport, San Francisco, California, USA"
MIA,"Miami International Airport, Miami, Florida, USA"
PHX,"Phoenix Sky Harbor International Airport, Phoenix, Arizona, USA"
DBML,Diabetic Meal
AVML,Asian Vegetarian Meal
